TIME,NODEUUID,BLEUUID,RSSI,PACKETID
22:10:4,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:10:4,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:10:8,123:231:213:90:88:12,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:10:8,123:231:213:90:88:12,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:10:8,123:231:213:90:88:12,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:10:8,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:10:23,123:231:213:90:88:12,125:182:238:69:148:123,62,5:2:12:4:5:6:42:88
22:10:23,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:11:2,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:11:2,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:11:21,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:11:21,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:11:30,123:231:213:90:88:12,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:11:32,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:11:49,123:231:213:90:88:12,125:182:238:69:148:123,67,5:2:12:4:5:6:42:88
22:11:49,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:12:6,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:12:6,123:231:213:90:88:12,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:12:23,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:12:23,123:231:213:90:88:12,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
